"Binalonan, Pangasinan — Central Agricultural Production Dataset",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crop
Type",Barangay,Month,Year,"Season /
Period",Phase,"Rainfall
(mm/day)","Avg Temp
(°C)","Min Temp
(°C)","Max Temp
(°C)","Humidity
(%)","Surface
Pressure (kPa)","Solar Rad.
(MJ/m²/day)","Climate
Type","Climate
Season",Soil Type,Terrain Type,"Elevation
(m asl)","Nearest
Water Body","Land Size
(ha)","Irrigated
Area (ha)","Rainfed
Area (ha)","Total Area
Planted (ha)","Area
Harvested (ha)","Production
(MT)","Yield
(MT/ha)","Primary Planting
Technique",Tillage Method,Water Management
Palay,Balangobong,January,2007,DS 2007-2008,Planting,0.40,24.24,16.82,31.18,79.65,98.68,16.49,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Silty Clay Loam,Flat / Lowland,30,—,281.40,4.00,35.32,24.00,,,,Transplanting (Pindot) — optimal for clay-loam paddy fields,Wet Tillage (Puddling): 2 plowings + thorough harrowing under flooded condition,Continuous flooding 2–5 cm depth during vegetative stage; drain 2 weeks before harvest
Palay,San Felipe Central,January,2007,DS 2007-2008,Planting,0.40,24.24,16.82,31.18,79.65,98.68,16.49,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Sandy Loam,Flat / Lowland,30,—,452.76,12.00,41.02,36.00,,,,Transplanting (Pindot) or Direct Seeding (Pinaghandaan),Conventional Tillage: 2 plowings + 2 harrowings; soil workable when moist,Intermittent irrigation (Alternate Wetting and Drying — AWD); moderate retention
Palay,Sumabnit,January,2007,DS 2007-2008,Planting,0.40,24.24,16.82,31.18,79.65,98.68,16.49,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Silty Clay Loam / Fine Sandy Loam,Flat / Lowland,30,Tagamusing River,406.56,15.72,81.66,21.13,,,,Transplanting (Pindot),Minimum Tillage (avoid compaction; sandy structure fragile),Continuous flooding or frequent irrigation; high percolation risk
Palay,San Felipe Sur,January,2007,DS 2007-2008,Planting,0.40,24.24,16.82,31.18,79.65,98.68,16.49,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Sandy Loam,Flat / Lowland,30,Tagamusing River,504.00,2.00,26.40,56.00,,,,Transplanting (Pindot) or Direct Seeding (Pinaghandaan),Conventional Tillage: 2 plowings + 2 harrowings; soil workable when moist,Intermittent irrigation (Alternate Wetting and Drying — AWD); moderate retention
Palay,Linmansangan,January,2007,DS 2007-2008,Planting,0.40,24.24,16.82,31.18,79.65,98.68,16.49,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Silty Clay Loam,Flat / Lowland,30,—,492.24,2.00,81.66,12.25,,,,Transplanting (Pindot) — optimal for clay-loam paddy fields,Wet Tillage (Puddling): 2 plowings + thorough harrowing under flooded condition,Continuous flooding 2–5 cm depth during vegetative stage; drain 2 weeks before harvest
Palay,Pasileng Sur,January,2007,DS 2007-2008,Planting,0.40,24.24,16.82,31.18,79.65,98.68,16.49,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Sandy Loam,Flat / Lowland,30,Tagamusing River,414.96,41.00,41.02,95.00,,,,Transplanting (Pindot) or Direct Seeding (Pinaghandaan),Conventional Tillage: 2 plowings + 2 harrowings; soil workable when moist,Intermittent irrigation (Alternate Wetting and Drying — AWD); moderate retention
Palay,Capas,January,2007,DS 2007-2008,Planting,0.40,24.24,16.82,31.18,79.65,98.68,16.49,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Sandy Loam,Flat / Lowland,30,—,377.16,4.00,52.42,58.00,,,,Transplanting (Pindot) or Direct Seeding (Pinaghandaan),Conventional Tillage: 2 plowings + 2 harrowings; soil workable when moist,Intermittent irrigation (Alternate Wetting and Drying — AWD); moderate retention
Palay,Sta. Maria Norte,January,2007,DS 2007-2008,Planting,0.40,24.24,16.82,31.18,79.65,98.68,16.49,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Sandy Loam,Flat / Lowland,30,Tagamusing River,157.08,5.61,20.70,30.73,,,,Transplanting (Pindot) or Direct Seeding (Pinaghandaan),Conventional Tillage: 2 plowings + 2 harrowings; soil workable when moist,Intermittent irrigation (Alternate Wetting and Drying — AWD); moderate retention
Palay,Mangkasuy,January,2007,DS 2007-2008,Planting,0.40,24.24,16.82,31.18,79.65,98.68,16.49,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Sandy Loam,Flat / Lowland,30,Tagamusing River,802.20,2.00,70.82,12.25,,,,Transplanting (Pindot) or Direct Seeding (Pinaghandaan),Conventional Tillage: 2 plowings + 2 harrowings; soil workable when moist,Intermittent irrigation (Alternate Wetting and Drying — AWD); moderate retention
Palay,Santiago,January,2007,DS 2007-2008,Planting,0.40,24.24,16.82,31.18,79.65,98.68,16.49,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Silty Clay Loam,Flat / Lowland,30,—,283.08,20.16,81.66,81.13,,,,Transplanting (Pindot) — optimal for clay-loam paddy fields,Wet Tillage (Puddling): 2 plowings + thorough harrowing under flooded condition,Continuous flooding 2–5 cm depth during vegetative stage; drain 2 weeks before harvest
Palay,Pasileng Norte,January,2008,DS 2008-2009,Planting,1.45,23.94,17.59,30.50,81.62,98.54,16.06,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Sandy Loam,Flat / Lowland,30,Tagamusing River,140.28,9.34,26.40,74.50,,,,Transplanting (Pindot) or Direct Seeding (Pinaghandaan),Conventional Tillage: 2 plowings + 2 harrowings; soil workable when moist,Intermittent irrigation (Alternate Wetting and Drying — AWD); moderate retention
Palay,Tabuyoc,January,2008,DS 2008-2009,Planting,1.45,23.94,17.59,30.50,81.62,98.54,16.06,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Silty Clay Loam,Flat / Lowland,30,—,277.20,2.00,81.66,126.90,,,,Transplanting (Pindot) — optimal for clay-loam paddy fields,Wet Tillage (Puddling): 2 plowings + thorough harrowing under flooded condition,Continuous flooding 2–5 cm depth during vegetative stage; drain 2 weeks before harvest
Palay,Bued,January,2008,DS 2008-2009,Planting,1.45,23.94,17.59,30.50,81.62,98.54,16.06,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Silty Clay Loam,Flat / Lowland,30,Tagamusing River,210.84,2.00,35.32,37.89,,,,Transplanting (Pindot) — optimal for clay-loam paddy fields,Wet Tillage (Puddling): 2 plowings + thorough harrowing under flooded condition,Continuous flooding 2–5 cm depth during vegetative stage; drain 2 weeks before harvest
Palay,Dumayat,January,2008,DS 2008-2009,Planting,1.45,23.94,17.59,30.50,81.62,98.54,16.06,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Silty Clay Loam,Flat / Lowland,30,—,266.28,2.00,35.32,12.25,,,,Transplanting (Pindot) — optimal for clay-loam paddy fields,Wet Tillage (Puddling): 2 plowings + thorough harrowing under flooded condition,Continuous flooding 2–5 cm depth during vegetative stage; drain 2 weeks before harvest
Palay,Camanggaan,January,2008,DS 2008-2009,Planting,1.45,23.94,17.59,30.50,81.62,98.54,16.06,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Sandy Loam,Flat / Lowland,30,—,244.44,2.00,52.42,13.00,,,,Transplanting (Pindot) or Direct Seeding (Pinaghandaan),Conventional Tillage: 2 plowings + 2 harrowings; soil workable when moist,Intermittent irrigation (Alternate Wetting and Drying — AWD); moderate retention
Palay,Bugayong,January,2008,DS 2008-2009,Planting,1.45,23.94,17.59,30.50,81.62,98.54,16.06,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Sandy Loam / Silty Clay Loam,Flat / Lowland,30,Aloragat River,346.08,2.00,41.02,10.50,,,,Transplanting (Pindot) — recommended; Direct Seeding possible in dry season,Conventional Tillage: 2 plowings + harrowing; puddle thoroughly for transplanting,Intermittent to continuous flooding; manage according to drainage section present
Palay,Vacante,January,2008,DS 2008-2009,Planting,1.45,23.94,17.59,30.50,81.62,98.54,16.06,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Silty Clay Loam,Flat / Lowland,30,Aloragat River,484.68,10.95,81.66,47.18,,,,Transplanting (Pindot) — optimal for clay-loam paddy fields,Wet Tillage (Puddling): 2 plowings + thorough harrowing under flooded condition,Continuous flooding 2–5 cm depth during vegetative stage; drain 2 weeks before harvest
Palay,Sta. Catalina,January,2008,DS 2008-2009,Planting,1.45,23.94,17.59,30.50,81.62,98.54,16.06,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Fine Sand / Sandy Loam,Moderately Sloping / Highland,90,—,709.80,2.00,145.04,40.06,,,,Transplanting (Pindot),Minimum Tillage (avoid compaction; sandy structure fragile),Continuous flooding or frequent irrigation; high percolation risk; terrace or bund-assisted water retention essential on slopes
Palay,Moreno,January,2008,DS 2008-2009,Planting,1.45,23.94,17.59,30.50,81.62,98.54,16.06,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Sandy Loam,Moderately Sloping / Highland,90,Alibeng River,641.76,2.00,135.56,28.18,,,,Transplanting (Pindot) or Direct Seeding (Pinaghandaan),Conventional Tillage: 2 plowings + 2 harrowings; soil workable when moist,Intermittent irrigation (Alternate Wetting and Drying — AWD); moderate retention; terrace or bund-assisted water retention essential on slopes
Palay,Cili,January,2008,DS 2008-2009,Planting,1.45,23.94,17.59,30.50,81.62,98.54,16.06,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Silty Clay Loam,Flat / Lowland,30,Alibeng River,264.60,2.00,35.32,12.50,,,,Transplanting (Pindot) — optimal for clay-loam paddy fields,Wet Tillage (Puddling): 2 plowings + thorough harrowing under flooded condition,Continuous flooding 2–5 cm depth during vegetative stage; drain 2 weeks before harvest
Palay,San Pablo,January,2008,DS 2008-2009,Planting,1.45,23.94,17.59,30.50,81.62,98.54,16.06,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Sandy Loam,Flat / Lowland,30,San Pablo Creek,215.04,4.37,20.70,134.00,,,,Transplanting (Pindot) or Direct Seeding (Pinaghandaan),Conventional Tillage: 2 plowings + 2 harrowings; soil workable when moist,Intermittent irrigation (Alternate Wetting and Drying — AWD); moderate retention
Palay,Balangobong,January,2008,DS 2008-2009,Planting,1.45,23.94,17.59,30.50,81.62,98.54,16.06,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Silty Clay Loam,Flat / Lowland,30,—,281.40,1.00,35.32,122.00,,,,Transplanting (Pindot) — optimal for clay-loam paddy fields,Wet Tillage (Puddling): 2 plowings + thorough harrowing under flooded condition,Continuous flooding 2–5 cm depth during vegetative stage; drain 2 weeks before harvest
Palay,San Felipe Central,January,2008,DS 2008-2009,Planting,1.45,23.94,17.59,30.50,81.62,98.54,16.06,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Sandy Loam,Flat / Lowland,30,—,452.76,10.77,41.02,169.20,,,,Transplanting (Pindot) or Direct Seeding (Pinaghandaan),Conventional Tillage: 2 plowings + 2 harrowings; soil workable when moist,Intermittent irrigation (Alternate Wetting and Drying — AWD); moderate retention
Palay,Sumabnit,January,2008,DS 2008-2009,Planting,1.45,23.94,17.59,30.50,81.62,98.54,16.06,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Silty Clay Loam / Fine Sandy Loam,Flat / Lowland,30,Tagamusing River,406.56,10.68,81.66,10.50,,,,Transplanting (Pindot),Minimum Tillage (avoid compaction; sandy structure fragile),Continuous flooding or frequent irrigation; high percolation risk
Palay,San Felipe Sur,January,2008,DS 2008-2009,Planting,1.45,23.94,17.59,30.50,81.62,98.54,16.06,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Sandy Loam,Flat / Lowland,30,Tagamusing River,504.00,2.00,26.40,168.00,,,,Transplanting (Pindot) or Direct Seeding (Pinaghandaan),Conventional Tillage: 2 plowings + 2 harrowings; soil workable when moist,Intermittent irrigation (Alternate Wetting and Drying — AWD); moderate retention
Palay,Linmansangan,January,2008,DS 2008-2009,Planting,1.45,23.94,17.59,30.50,81.62,98.54,16.06,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Silty Clay Loam,Flat / Lowland,30,—,492.24,2.00,81.66,12.25,,,,Transplanting (Pindot) — optimal for clay-loam paddy fields,Wet Tillage (Puddling): 2 plowings + thorough harrowing under flooded condition,Continuous flooding 2–5 cm depth during vegetative stage; drain 2 weeks before harvest
Palay,Pasileng Sur,January,2008,DS 2008-2009,Planting,1.45,23.94,17.59,30.50,81.62,98.54,16.06,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Sandy Loam,Flat / Lowland,30,Tagamusing River,414.96,15.52,41.02,102.00,,,,Transplanting (Pindot) or Direct Seeding (Pinaghandaan),Conventional Tillage: 2 plowings + 2 harrowings; soil workable when moist,Intermittent irrigation (Alternate Wetting and Drying — AWD); moderate retention
Palay,Capas,January,2008,DS 2008-2009,Planting,1.45,23.94,17.59,30.50,81.62,98.54,16.06,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Sandy Loam,Flat / Lowland,30,—,377.16,3.47,52.42,179.00,,,,Transplanting (Pindot) or Direct Seeding (Pinaghandaan),Conventional Tillage: 2 plowings + 2 harrowings; soil workable when moist,Intermittent irrigation (Alternate Wetting and Drying — AWD); moderate retention
Palay,Sta. Maria Norte,January,2008,DS 2008-2009,Planting,1.45,23.94,17.59,30.50,81.62,98.54,16.06,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Sandy Loam,Flat / Lowland,30,Tagamusing River,157.08,2.00,20.70,25.50,,,,Transplanting (Pindot) or Direct Seeding (Pinaghandaan),Conventional Tillage: 2 plowings + 2 harrowings; soil workable when moist,Intermittent irrigation (Alternate Wetting and Drying — AWD); moderate retention
Palay,Mangkasuy,January,2008,DS 2008-2009,Planting,1.45,23.94,17.59,30.50,81.62,98.54,16.06,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Sandy Loam,Flat / Lowland,30,Tagamusing River,802.20,2.00,70.82,18.00,,,,Transplanting (Pindot) or Direct Seeding (Pinaghandaan),Conventional Tillage: 2 plowings + 2 harrowings; soil workable when moist,Intermittent irrigation (Alternate Wetting and Drying — AWD); moderate retention
Palay,Santiago,January,2008,DS 2008-2009,Planting,1.45,23.94,17.59,30.50,81.62,98.54,16.06,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Silty Clay Loam,Flat / Lowland,30,—,283.08,15.54,81.66,85.18,,,,Transplanting (Pindot) — optimal for clay-loam paddy fields,Wet Tillage (Puddling): 2 plowings + thorough harrowing under flooded condition,Continuous flooding 2–5 cm depth during vegetative stage; drain 2 weeks before harvest
Palay,Pasileng Norte,January,2009,DS 2009-2010,Planting,0.37,23.05,14.10,31.33,77.60,98.60,15.67,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Sandy Loam,Flat / Lowland,30,Tagamusing River,140.28,2.00,26.40,86.00,,,,Transplanting (Pindot) or Direct Seeding (Pinaghandaan),Conventional Tillage: 2 plowings + 2 harrowings; soil workable when moist,Intermittent irrigation (Alternate Wetting and Drying — AWD); moderate retention
Palay,Tabuyoc,January,2009,DS 2009-2010,Planting,0.37,23.05,14.10,31.33,77.60,98.60,15.67,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Silty Clay Loam,Flat / Lowland,30,—,277.20,2.00,81.66,2.00,,,,Transplanting (Pindot) — optimal for clay-loam paddy fields,Wet Tillage (Puddling): 2 plowings + thorough harrowing under flooded condition,Continuous flooding 2–5 cm depth during vegetative stage; drain 2 weeks before harvest
Palay,Balangobong,January,2009,DS 2009-2010,Planting,0.37,23.05,14.10,31.33,77.60,98.60,15.67,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Silty Clay Loam,Flat / Lowland,30,—,281.40,5.00,35.32,2.00,,,,Transplanting (Pindot) — optimal for clay-loam paddy fields,Wet Tillage (Puddling): 2 plowings + thorough harrowing under flooded condition,Continuous flooding 2–5 cm depth during vegetative stage; drain 2 weeks before harvest
Palay,San Pablo,January,2009,DS 2009-2010,Planting,0.37,23.05,14.10,31.33,77.60,98.60,15.67,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Sandy Loam,Flat / Lowland,30,San Pablo Creek,215.04,1.00,20.70,5.00,,,,Transplanting (Pindot) or Direct Seeding (Pinaghandaan),Conventional Tillage: 2 plowings + 2 harrowings; soil workable when moist,Intermittent irrigation (Alternate Wetting and Drying — AWD); moderate retention
Palay,San Felipe Central,January,2009,DS 2009-2010,Planting,0.37,23.05,14.10,31.33,77.60,98.60,15.67,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Sandy Loam,Flat / Lowland,30,—,452.76,5.00,41.02,4.00,,,,Transplanting (Pindot) or Direct Seeding (Pinaghandaan),Conventional Tillage: 2 plowings + 2 harrowings; soil workable when moist,Intermittent irrigation (Alternate Wetting and Drying — AWD); moderate retention
Palay,Pasileng Sur,January,2009,DS 2009-2010,Planting,0.37,23.05,14.10,31.33,77.60,98.60,15.67,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Sandy Loam,Flat / Lowland,30,Tagamusing River,414.96,3.00,41.02,5.00,,,,Transplanting (Pindot) or Direct Seeding (Pinaghandaan),Conventional Tillage: 2 plowings + 2 harrowings; soil workable when moist,Intermittent irrigation (Alternate Wetting and Drying — AWD); moderate retention
Palay,San Felipe Sur,January,2009,DS 2009-2010,Planting,0.37,23.05,14.10,31.33,77.60,98.60,15.67,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Sandy Loam,Flat / Lowland,30,Tagamusing River,504.00,3.00,26.40,3.00,,,,Transplanting (Pindot) or Direct Seeding (Pinaghandaan),Conventional Tillage: 2 plowings + 2 harrowings; soil workable when moist,Intermittent irrigation (Alternate Wetting and Drying — AWD); moderate retention
Palay,Camanggaan,January,2009,DS 2009-2010,Planting,0.37,23.05,14.10,31.33,77.60,98.60,15.67,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Sandy Loam,Flat / Lowland,30,—,244.44,2.00,52.42,4.00,,,,Transplanting (Pindot) or Direct Seeding (Pinaghandaan),Conventional Tillage: 2 plowings + 2 harrowings; soil workable when moist,Intermittent irrigation (Alternate Wetting and Drying — AWD); moderate retention
Palay,Bugayong,January,2009,DS 2009-2010,Planting,0.37,23.05,14.10,31.33,77.60,98.60,15.67,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Sandy Loam / Silty Clay Loam,Flat / Lowland,30,Aloragat River,346.08,2.00,41.02,3.00,,,,Transplanting (Pindot) — recommended; Direct Seeding possible in dry season,Conventional Tillage: 2 plowings + harrowing; puddle thoroughly for transplanting,Intermittent to continuous flooding; manage according to drainage section present
Palay,Mangkasuy,January,2009,DS 2009-2010,Planting,0.37,23.05,14.10,31.33,77.60,98.60,15.67,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Sandy Loam,Flat / Lowland,30,Tagamusing River,802.20,2.00,70.82,12.25,,,,Transplanting (Pindot) or Direct Seeding (Pinaghandaan),Conventional Tillage: 2 plowings + 2 harrowings; soil workable when moist,Intermittent irrigation (Alternate Wetting and Drying — AWD); moderate retention
Palay,Sta. Maria Norte,January,2009,DS 2009-2010,Planting,0.37,23.05,14.10,31.33,77.60,98.60,15.67,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Sandy Loam,Flat / Lowland,30,Tagamusing River,157.08,2.00,20.70,12.25,,,,Transplanting (Pindot) or Direct Seeding (Pinaghandaan),Conventional Tillage: 2 plowings + 2 harrowings; soil workable when moist,Intermittent irrigation (Alternate Wetting and Drying — AWD); moderate retention
Palay,Capas,January,2009,DS 2009-2010,Planting,0.37,23.05,14.10,31.33,77.60,98.60,15.67,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Sandy Loam,Flat / Lowland,30,—,377.16,1.00,52.42,13.00,,,,Transplanting (Pindot) or Direct Seeding (Pinaghandaan),Conventional Tillage: 2 plowings + 2 harrowings; soil workable when moist,Intermittent irrigation (Alternate Wetting and Drying — AWD); moderate retention
Palay,Cili,January,2009,DS 2009-2010,Planting,0.37,23.05,14.10,31.33,77.60,98.60,15.67,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Silty Clay Loam,Flat / Lowland,30,Alibeng River,264.60,2.00,35.32,2.00,,,,Transplanting (Pindot) — optimal for clay-loam paddy fields,Wet Tillage (Puddling): 2 plowings + thorough harrowing under flooded condition,Continuous flooding 2–5 cm depth during vegetative stage; drain 2 weeks before harvest
Palay,Sumabnit,January,2009,DS 2009-2010,Planting,0.37,23.05,14.10,31.33,77.60,98.60,15.67,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Silty Clay Loam / Fine Sandy Loam,Flat / Lowland,30,Tagamusing River,406.56,2.00,81.66,35.22,,,,Transplanting (Pindot),Minimum Tillage (avoid compaction; sandy structure fragile),Continuous flooding or frequent irrigation; high percolation risk
Palay,Pasileng Norte,January,2011,DS 2011-2012,Planting,1.50,23.26,16.59,29.76,81.59,98.46,15.11,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Sandy Loam,Flat / Lowland,30,Tagamusing River,140.28,2.00,26.40,74.00,,,,Transplanting (Pindot) or Direct Seeding (Pinaghandaan),Conventional Tillage: 2 plowings + 2 harrowings; soil workable when moist,Intermittent irrigation (Alternate Wetting and Drying — AWD); moderate retention
Palay,Tabuyoc,January,2011,DS 2011-2012,Planting,1.50,23.26,16.59,29.76,81.59,98.46,15.11,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Silty Clay Loam,Flat / Lowland,30,—,277.20,7.00,81.66,125.00,,,,Transplanting (Pindot) — optimal for clay-loam paddy fields,Wet Tillage (Puddling): 2 plowings + thorough harrowing under flooded condition,Continuous flooding 2–5 cm depth during vegetative stage; drain 2 weeks before harvest
Palay,Bued,January,2011,DS 2011-2012,Planting,1.50,23.26,16.59,29.76,81.59,98.46,15.11,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Silty Clay Loam,Flat / Lowland,30,Tagamusing River,210.84,2.00,35.32,105.40,,,,Transplanting (Pindot) — optimal for clay-loam paddy fields,Wet Tillage (Puddling): 2 plowings + thorough harrowing under flooded condition,Continuous flooding 2–5 cm depth during vegetative stage; drain 2 weeks before harvest
